"Bacteria","Lag_Combination","combination_id","AIC","BIC","Deviance_Explained_pct","GCV","sample_size","temp_lag","prec_lag","hum_lag","wet_lag","is_original_optimal","Rank","Optimal","CV_RMSE","CV_RMSE_sd"
"CR-Ec","2-2-3-2","T2_P2_H3_W2",-1210.34082362969,-1044.68938067486,77.846706619672,-560.509776806965,621,2,2,3,2,FALSE,20,"No",NA,NA
"CR-Ec","3-3-2-2","T3_P3_H2_W2",-1206.58600187003,-1038.46394756907,77.7523366162418,-561.711920691183,621,3,3,2,2,FALSE,21,"No",NA,NA
"CR-Ec","3-3-3-2","T3_P3_H3_W2",-1206.58381158244,-1038.45477534481,77.7523710403171,-561.711750479713,621,3,3,3,2,FALSE,22,"No",NA,NA
"CR-Ec","3-3-1-2","T3_P3_H1_W2",-1206.58353744136,-1038.45454529549,77.7523605061487,-561.711836580758,621,3,3,1,2,FALSE,23,"No",NA,NA
"CR-Ec","2-3-2-2","T2_P3_H2_W2",-1206.34008053922,-1043.3070290962,77.6610544780118,-560.745363366017,621,2,3,2,2,FALSE,24,"No",NA,NA
"CR-Ec","3-2-1-2","T3_P2_H1_W2",-1204.87765193077,-1043.55881001596,77.5804710893119,-561.18213731073,621,3,2,1,2,FALSE,25,"No",NA,NA
"CR-Ec","3-2-2-2","T3_P2_H2_W2",-1204.87704346927,-1043.55541601166,77.5804945103836,-561.182041812272,621,3,2,2,2,FALSE,26,"No",NA,NA
"CR-Ec","3-2-3-2","T3_P2_H3_W2",-1204.87419916351,-1043.54081043739,77.5805834635503,-561.181921639773,621,3,2,3,2,FALSE,27,"No",NA,NA
"CR-Ec","1-3-2-2","T1_P3_H2_W2",-1204.38499988435,-1039.3119092598,77.6238154097769,-561.297867292972,621,1,3,2,2,FALSE,28,"No",NA,NA
"CR-Ec","1-3-1-2","T1_P3_H1_W2",-1204.38269172525,-1039.31956930379,77.623570130688,-561.297912549445,621,1,3,1,2,FALSE,29,"No",NA,NA
"CR-Ec","1-3-3-2","T1_P3_H3_W2",-1204.38095581502,-1039.31099503838,77.6236187914772,-561.297805931326,621,1,3,3,2,FALSE,30,"No",NA,NA
"CR-Ec","2-3-1-2","T2_P3_H1_W2",-1204.19836418971,-1037.63286808247,77.6413539889764,-560.768000935644,621,2,3,1,2,FALSE,31,"No",NA,NA
"CR-Ec","1-2-3-2","T1_P2_H3_W2",-1203.43813505808,-1046.44250669933,77.4577234930231,-560.752677037658,621,1,2,3,2,FALSE,32,"No",NA,NA
"CR-Ec","1-2-2-2","T1_P2_H2_W2",-997.548801014365,-760.207609428539,71.02246123448,-430.727976410538,693,1,2,2,2,FALSE,33,"No",NA,NA
"CR-Ec","2-2-2-2","T2_P2_H2_W2",-996.845950784472,-763.140162380649,70.9259605775963,-431.140959380221,693,2,2,2,2,FALSE,34,"No",NA,NA
"CR-Ec","2-2-1-2","T2_P2_H1_W2",-984.641848714929,-753.730825351022,70.3568111769625,-425.483768169496,693,2,2,1,2,FALSE,35,"No",NA,NA
"CR-Ec","1-2-1-2","T1_P2_H1_W2",-979.273489161378,-747.433690755703,70.1439154276828,-425.552788499709,693,1,2,1,2,FALSE,36,"No",NA,NA
"CR-Kp","1-3-3-2","T1_P3_H3_W2",415.233118793651,598.857397849045,71.7221209740955,253.988353229409,521,1,3,3,2,FALSE,1,"Yes",0.697196740375589,0.106605646211858
"CR-Kp","1-3-2-2","T1_P3_H2_W2",415.307965381275,599.579051394905,71.7345540969346,253.417362258979,521,1,3,2,2,FALSE,2,"No",0.669756938642699,0.0913117519841591
"CR-Kp","1-1-3-2","T1_P1_H3_W2",418.804065692749,604.038359308082,71.5689573698682,254.940166475671,521,1,1,3,2,FALSE,3,"No",0.686691202378312,0.101662023665993
"CR-Kp","2-3-2-2","T2_P3_H2_W2",419.473952037809,602.768819629706,71.4825331934971,253.803337852237,521,2,3,2,2,FALSE,4,"No",0.687469724450526,0.120225563717403
"CR-Kp","1-3-3-1","T1_P3_H3_W1",420.668133075417,610.591120298141,71.5874721978819,255.098688196189,521,1,3,3,1,FALSE,5,"No",0.653410460427499,0.122081041930957
"CR-Kp","3-3-2-2","T3_P3_H2_W2",421.21435935335,604.870711995265,71.396439122217,253.824020532782,521,3,3,2,2,FALSE,6,"No",0.662840132222773,0.112187945456606
"CR-Kp","3-3-3-2","T3_P3_H3_W2",422.607084271252,602.250859388313,71.2158808157937,254.418202799852,521,3,3,3,2,FALSE,7,"No",0.681074050040213,0.126627485011833
"CR-Kp","2-1-3-2","T2_P1_H3_W2",422.731514331009,607.030913384703,71.3296587849351,255.590919140495,521,2,1,3,2,FALSE,8,"No",0.687310466991764,0.112178218303401
"CR-Kp","2-3-3-1","T2_P3_H3_W1",422.732102720169,608.477711651511,71.3670028171127,254.76673984688,521,2,3,3,1,FALSE,9,"No",0.633578375099741,0.167782659560577
"CR-Kp","3-3-3-1","T3_P3_H3_W1",423.373760423035,609.1028548146,71.3312899588604,254.941948135931,521,3,3,3,1,FALSE,10,"No",0.654798200389375,0.133981137384919
"CR-Kp","1-2-3-2","T1_P2_H3_W2",423.425369034101,604.366201069277,71.2043466406594,256.26644242339,521,1,2,3,2,FALSE,11,"No",NA,NA
"CR-Kp","2-3-3-2","T2_P3_H3_W2",424.26020713162,605.20933979586,71.1583841255154,255.548405502262,521,2,3,3,2,FALSE,12,"No",NA,NA
