"P10","P50","P90","OR_P10","OR_P50","OR_P90","ORratio","DlogOR","Dir","Source","Bacteria","Mode","CV"
7.66,11.4,24.54,0.748207444392688,0.993857897832811,1.38555483122049,1.85183245850371,0.616175666960986,1,"Primary","CR-Ab","common","Temperature"
531.36,744.2,1366.32,0.960231913812237,0.963683211290286,1.05547004404947,1.09918242548211,0.0945666538957164,1,"Primary","CR-Ab","common","Precipitation"
60.5374,73.413,81.2312,0.99999997435201,1.00000002679572,0.999999984041287,1.00000000968928,9.68927713791158e-09,1,"Primary","CR-Ab","common","Humidity"
67.9,141.5,195.92,1.01859560800571,1.02022278293679,0.950353053482358,0.93300329003287,-0.0693465518464013,-1,"Primary","CR-Ab","common","WetDays"
7.42131,11.41805,24.40727,0.783583105305342,1.00772599407875,1.19186613224651,1.5210462351432,0.419398410673929,1,"ERA5","CR-Ab","full","Temperature"
609.08972,861.2543,1649.57348,0.952759746810782,0.957938334601273,1.10224665355554,1.15689884805182,0.145743018332462,1,"ERA5","CR-Ab","full","Precipitation"
60.8455,73.62,81.7897,1.00000019578921,1.00000001684903,0.99999981422756,0.999999618438428,-3.81561644589825e-07,-1,"ERA5","CR-Ab","full","Humidity"
157.57478,227.24515,284.29929,1.10543675726392,1.01312035772753,0.916275692360646,0.828881151580783,-0.187678497718132,-1,"ERA5","CR-Ab","full","WetDays"
7.35784,11.2883,24.52288,0.801986792485979,1.00735547728131,1.24493177122117,1.55230956779495,0.439743865656179,1,"ERA5","CR-Ab","common","Temperature"
605.22362,859.2784,1478.22002,0.944121117929001,0.961925186676943,1.0832705809988,1.14738518229,0.137485598939788,1,"ERA5","CR-Ab","common","Precipitation"
60.5374,73.413,81.2312,1.00000037986914,1.00000001504181,0.999999674260926,0.99999929439205,-7.05608199201511e-07,-1,"ERA5","CR-Ab","common","Humidity"
157.05888,223.8522,278.24706,1.11790410348553,0.999195976743001,0.912061355325647,0.815867257738759,-0.203503611590692,-1,"ERA5","CR-Ab","common","WetDays"
6.56395,10.943,24.15015,0.977401504595325,0.992324140845251,1.03876944993017,1.06278683329862,0.0608945461352295,1,"MERRA2","CR-Ab","full","Temperature"
549.3572,804.39215,1428.08606,0.999999866328274,0.999999929397653,1.00000016576942,1.00000029944118,2.99441138741836e-07,1,"MERRA2","CR-Ab","full","Precipitation"
61.82402,77.35335,87.8102,1.06459531880712,0.99721297917922,0.949641246675622,0.892020873940811,-0.114265745396997,-1,"MERRA2","CR-Ab","full","Humidity"
149.84494,226.44205,300.75949,1.12280069650643,0.949136894031495,1.06008647740313,0.944144834164748,-0.0574756985832258,-1,"MERRA2","CR-Ab","full","WetDays"
6.52326,10.8245,24.24986,0.999986889569261,0.999999705585555,1.00000770392632,1.00002081462995,2.08144133277217e-05,1,"MERRA2","CR-Ab","common","Temperature"
545.77716,796.5764,1314.04492,0.999999888622189,0.999999954978391,1.00000011189532,1.00000022327316,2.23273130814898e-07,1,"MERRA2","CR-Ab","common","Precipitation"
61.68582,76.6825,87.82804,1.09720439482023,0.987851755222903,0.973837917222942,0.887562902427583,-0.119275884169409,-1,"MERRA2","CR-Ab","common","Humidity"
149.49138,224.9556,299.0088,1.14635405007107,0.97880385057291,0.934377270051412,0.815086115841337,-0.204461507714278,-1,"MERRA2","CR-Ab","common","WetDays"
