"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-2.10218835655719,-1.78356713426854,-0.0854629135836903,0.0740812521597421,0.918087190986571,0.794007662072033,1.06155662031526,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.0878601345343,-1.68336673346693,-0.0830831151104991,0.0737496669866038,0.920274655311686,0.796416919210205,1.06339458740895,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.07353191251141,-1.58316633266533,-0.0807120096131302,0.0734355921249967,0.922459312608911,0.798799127121645,1.06526303613414,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.05920369048852,-1.48296593186373,-0.0783497111427259,0.0731386186779459,0.924641012730955,0.801154550366064,1.06716113892566,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.04487546846563,-1.38276553106212,-0.0759963337504285,0.0728583160925748,0.926819604505131,0.803483496691436,1.06908801840012,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.03054724644273,-1.28256513026052,-0.0736519914873802,0.0725942330356869,0.928994935738377,0.80578631601057,1.07104274852966,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.01621902441984,-1.18236472945892,-0.0713167984047236,0.0723458983393593,0.9311668532225,0.808063399226589,1.07302435597279,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.00189080239695,-1.08216432865731,-0.068990868553601,0.0721128220094883,0.933335202739666,0.810315176917917,1.07503182155175,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.98756258037406,-0.981963927855711,-0.0666743159851548,0.0718944962897771,0.935499829068111,0.812542117894519,1.07706408186471,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.97323435835117,-0.881763527054108,-0.0643672547505273,0.0716903967733143,0.937660575988096,0.814744727638018,1.07912003102026,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.95890613632828,-0.781563126252506,-0.0620697989008608,0.0714999835536667,0.939817286288101,0.816923546639029,1.08119852248085,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.94457791430538,-0.681362725450901,-0.0597820624872976,0.0713227024072961,0.941969801771256,0.819079148645561,1.08329837100144,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.93024969228249,-0.581162324649299,-0.0575041595609802,0.0711579859991109,0.944117963262014,0.821212138836637,1.0854183546492,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.9159214702596,-0.480961923847696,-0.055236204173051,0.0710052551030683,0.946261610613072,0.823323151935387,1.08755721689011,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.90159324823671,-0.380761523046091,-0.0529783103746522,0.0708639198299476,0.948400582712536,0.8254128502758,1.08971366872824,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.88726502621382,-0.280561122244489,-0.0507305922169263,0.0707333808547114,0.95053471749133,0.82748192183705,1.09188639088389,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.87293680419092,-0.180360721442886,-0.0484931637510157,0.0706130306362475,0.952663851930864,0.829531078258871,1.09407403599715,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.85860858216803,-0.0801603206412818,-0.0462661390280624,0.0705022546227312,0.954787822070941,0.83156105285093,1.09627523084392,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.84428036014514,0.0200400801603209,-0.0440496320992092,0.0704004324363508,0.956906463017925,0.833572598608398,1.09848857855229,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.82995213812225,0.120240480961924,-0.0418437570155981,0.0703069390316889,0.959019608953166,0.835566486245147,1.10071266080776,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.81562391609936,0.220440881763528,-0.0396486278283717,0.070221145822637,0.961127093141669,0.837543502255101,1.10294604003697,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.80129569407647,0.320641282565131,-0.0374643585886724,0.0701424217733247,0.963228747941037,0.839504447011307,1.10518726156023,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.78696747205357,0.420841683366733,-0.0352910633476423,0.0700701344491651,0.965324404810659,0.841450132911286,1.10743485570439,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.77263925003068,0.521042084168338,-0.0331288561564238,0.070003651024733,0.967413894321168,0.843381382576215,1.10968733986854,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.75831102800779,0.62124248496994,-0.0309778510661595,0.0699423392458051,0.969497046164156,0.845299027110401,1.11194322053593,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.7439828059849,0.721442885771543,-0.0288381621279916,0.0698855683434831,0.97157368916216,0.847203904426542,1.1142009952269,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.72965458396201,0.821643286573147,-0.0267099033930625,0.0698327098988914,0.973643651278903,0.849096857641191,1.11645915438814,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
