"NAME","Cluster","Optimal_K","Selection_Method","Region","Climate_Factor"
"Argentina",8,10,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Wet Days"
"India",8,10,"Gap statistic (restricted maxSE)","South Asia","Wet Days"
"Bahrain",9,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Oman",9,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Saudi Arabia",9,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Tunisia",9,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"Pakistan",9,10,"Gap statistic (restricted maxSE)","South Asia","Wet Days"
"Cyprus",10,10,"Gap statistic (restricted maxSE)","Europe and Central Asia","Wet Days"
"Mexico",10,10,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Wet Days"
"Malta",10,10,"Gap statistic (restricted maxSE)","Middle East and North Africa","Wet Days"
"South Africa",10,10,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Wet Days"
